Unnamed: 0,slug,image,name_en,description_en,name_ro,description_ro,name_uk,description_uk
0,yaponskie_rozy,image_category/yaponskie_rozy.png,Japanese roses,Japanese roses are an incredible combination of sophistication and grace.Their magnificent flowers with exciting petals create the impression of magic and mystery.These roses have a unique ability to give the garden a luxury and a unique atmosphere.,Trandafiri japonezi,Trandafirii japonezi sunt o combinație incredibilă de rafinament și har.Florile lor magnifice cu petale interesante creează impresia de magie și mister.Acești trandafiri au o capacitate unică de a oferi grădinii un lux și o atmosferă unică.,Японські троянди,Японські троянди - це неймовірне поєднання витонченості та благодаті.Їх чудові квіти із захоплюючими пелюстками створюють враження магії та таємничості.Ці троянди мають унікальну здатність надати саду розкішну та унікальну атмосферу.
1,pionovidnye_rozy,image_category/pionovidnye_rozy.png,Pionivate roses,"Pionovidal roses are a real embodiment of splendor and luxury.Their large, tightly laid petals create the appearance of a flowering peony.These roses are the true queens of the garden, beckoning their unsurpassed beauty.",Trandafiri pioniezi,"Trandafirii pionovidați sunt o adevărată întruchipare de splendoare și lux.Petalele lor mari, strâns, create creează aspectul unei bujori înflorite.Acești trandafiri sunt adevărații regine ale grădinii, făcând semn frumuseții lor de neegalat.",Піонативні троянди,"Піоновідальні троянди - це справжнє втілення пишності та розкоші.Їх великі, щільно закладені пелюстки створюють зовнішній вигляд квітучого півонії.Ці троянди - справжні королеви саду, покликаючи їх неперевершену красу."
2,sadovye_rozy_premium_klassa,image_category/sadovye_rozy_premium_klassa.png,Garden roses of premium class,Premium garden roses are a crown of elegance and sophistication.Their delicate flowers are framed by juicy greens and fill the air with the aroma of luxury.These roses are real pearls of your garden.,Trandafiri de grădină de clasă premium,Trandafirii de grădină premium sunt o coroană de eleganță și sofisticare.Florile lor delicate sunt încadrate de verzi suculente și umplu aerul cu aroma de lux.Acești trandafiri sunt perle adevărate ale grădinii tale.,Садові троянди преміум -класу,Преміумські садові троянди - це корона витонченість та витонченість.Їх ніжні квіти обрамлені соковитою зеленню і наповнюють повітря ароматом розкоші.Ці троянди - справжні перли вашого саду.
3,miniatyurnie_cprei_rozi,image_category/miniatyurnie_cprei_rozi.png,Miniature roses,Miniature roses are delicate miracles that hide in themselves the unique world of miniature beauty.Their compact size and exquisite flowers make them ideal for creating cozy corners and alpine slides.,Trandafiri în miniatură,Trandafirii în miniatură sunt minuni delicate care se ascund în ei înșiși lumea unică a frumuseții în miniatură.Dimensiunea lor compactă și florile rafinate le fac ideale pentru crearea de colțuri confortabile și diapozitive alpine.,Мініатюрні троянди,"Мініатюрні троянди - це делікатні чудеса, які приховують у собі унікальний світ мініатюрної краси.Їх компактні розміри та вишукані квіти роблять їх ідеальними для створення затишних куточків та альпійських слайдів."
4,pletictie_rozi,image_category/pletictie_rozi.png,Weaved roses,Weaved roses are natural artists who create live masterpieces on your garden landscape.Their elegant shoots will bend into incredible forms strewn with flowers.These roses give your garden unique romance.,Trandafiri țesuti,Trandafirii țesători sunt artiști naturali care creează capodopere live pe peisajul tău de grădină.Lăstarii lor eleganți se vor apleca în forme incredibile răspândite cu flori.Acești trandafiri oferă grădinii tale romantism unic.,Плетені троянди,"Плетені троянди - це природні художники, які створюють живі шедеври на вашому садовому пейзажі.Їх елегантні пагони зігнуться в неймовірні форми, розсипані квітами.Ці троянди дають вашому саду унікальний роман."
5,chaino_gibridnie_rozi,image_category/chaino_gibridnie_rozi.png,Hybride roses tea,Hybrid roses tea are classical beauty in its best manifestation.Their elegant flowers with wavy petals have a unique aura.These roses personify sophistication and nobility.,Ceai de trandafiri hibride,Ceaiul de trandafiri hibrizi sunt frumusețe clasică în cea mai bună manifestare a sa.Florile lor elegante cu petale ondulate au o aură unică.Acești trandafiri personifică sofisticarea și nobilimea.,Гібридні троянди чай,Чай гібридних троянд - це класична краса в найкращому прояві.Їх вишукані квіти з хвилястими пелюстками мають унікальну ауру.Ці троянди уособлюють витонченість та благородство.
6,angliyskie_srezochnye_rozy,image_category/angliyskie_srezochnye_rozy.png,English roses (cuts),"English roses (cuts) are roses that fill the air with their sophisticated, aristocratic aroma.Their magnificent flowers are collected in chic bouquets, creating a unique romantic atmosphere.",Trandafiri englezi (tăieturi),"Trandafirii englezi (tăieturi) sunt trandafiri care umplu aerul cu aroma lor sofisticată, aristocratică.Florile lor magnifice sunt colectate în buchete elegante, creând o atmosferă romantică unică.",Англійські троянди (скорочення),"Англійські троянди (порізи) - це троянди, які наповнюють повітря своїм витонченим, аристократичним ароматом.Їх чудові квіти збираються в шикарних букетах, створюючи унікальну романтичну атмосферу."
7,floribunda_rozi,image_category/floribunda_rozi.png,Floribunda (polyflora) roses,Floribunda (polyflora) roses is a real firework of colors and fragrance.There are many flowers on the branches that creates a feeling of a holiday.These roses bring joy and brightness to your garden.,Trandafiri floribunda (poliflora),Roses Floribunda (Polyflora) este un adevărat artificii de culori și parfum.Există multe flori pe ramuri care creează un sentiment de vacanță.Acești trandafiri aduc bucurie și luminozitate grădinii tale.,Флорибунда (поліфлора) троянди,"Флорибунда (поліфлора) троянди - справжній феєрверк кольорів та ароматів.На гілках багато квітів, які створюють відчуття свята.Ці троянди приносять радість і яскравість у ваш сад."
8,anglijskie_rozy,image_category/anglijskie_rozy.png,English roses,English roses are a symbol of luxury and sophistication.Their luxurious flowers with the aroma of a true English rose take you to the world of elegance and sophistication.,Trandafiri englezi,Trandafirii englezi sunt un simbol al luxului și sofisticatului.Florile lor de lux cu aroma unui adevărat trandafir englez te duc în lumea eleganței și a rafinamentului.,Англійські троянди,Англійські троянди - символ розкоші та витонченості.Їх розкішні квіти з ароматом справжньої англійської троянди ведуть вас у світ елегантності та витонченості.
9,muskusnye_rozy,image_category/muskusnye_rozy.png,Muscular roses,Muscular roses are magic flowers with a delicate aroma that fascinates and takes you into the world of romance.Their delicate petals create a sense of tenderness and unearthly beauty.,Trandafiri musculari,Trandafirii musculari sunt flori magice cu o aromă delicată care te fascinează și te duce în lumea romantismului.Petalele lor delicate creează un sentiment de tandrețe și frumusețe neobișnuită.,М’язові троянди,"М'язові троянди - це чарівні квіти з ніжним ароматом, який зачаровує і переносить вас у світ роману.Їх делікатні пелюстки створюють відчуття ніжності та неземної краси."
