,Unnamed: 0,name,slug,image,description,name_en,description_en
0,0,Японские розы,yaponskie_rozy,image_category/yaponskie_rozy.png,Японские розы — это невероятное сочетание изысканности и изящества. Их великолепные цветы с волнующими лепестками создают впечатление магии и загадочности. Эти розы обладают уникальной способностью подарить саду роскошь и неповторимую атмосферу.,Japanese roses,Japanese roses are an incredible combination of sophistication and grace.Their magnificent flowers with exciting petals create the impression of magic and mystery.These roses have a unique ability to give the garden a luxury and a unique atmosphere.
1,1,Пионовидные розы,pionovidnye_rozy,image_category/pionovidnye_rozy.png,"Пионовидные розы — настоящее воплощение пышности и роскоши. Их крупные, плотно уложенные лепестки создают видимость цветущего пиона. Эти розы — истинные королевы сада, манящие своей непревзойденной красотой.",Pionivate roses,"Pionovidal roses are a real embodiment of splendor and luxury.Their large, tightly laid petals create the appearance of a flowering peony.These roses are the true queens of the garden, beckoning their unsurpassed beauty."
2,2,Садовые розы премиум класса,sadovye_rozy_premium_klassa,image_category/sadovye_rozy_premium_klassa.png,Садовые розы премиум класса — это венец элегантности и изысканности. Их нежные цветы обрамлены сочной зеленью и наполняют воздух ароматом роскоши. Эти розы — настоящие жемчужины вашего сада.,Garden roses of premium class,Premium garden roses are a crown of elegance and sophistication.Their delicate flowers are framed by juicy greens and fill the air with the aroma of luxury.These roses are real pearls of your garden.
3,3,Миниатюрные розы,miniatyurnie_cprei_rozi,image_category/miniatyurnie_cprei_rozi.png,"Миниатюрные розы — нежные чудеса, которые прячут в себе неповторимый мир миниатюрной красоты. Их компактный размер и изысканные цветы делают их идеальными для создания уютных уголков и альпийских горок.",Miniature roses,Miniature roses are delicate miracles that hide in themselves the unique world of miniature beauty.Their compact size and exquisite flowers make them ideal for creating cozy corners and alpine slides.
4,4,Плетистые розы,pletictie_rozi,image_category/pletictie_rozi.png,"Плетистые розы — природные художники, которые создают живые шедевры на вашем садовом ландшафте. Их изящные побеги изогнутся в невероятные формы, усыпанные цветами. Эти розы придают вашему саду неповторимую романтичность.",Weaved roses,Weaved roses are natural artists who create live masterpieces on your garden landscape.Their elegant shoots will bend into incredible forms strewn with flowers.These roses give your garden unique romance.
5,5,Чайно-гибридные розы,chaino_gibridnie_rozi,image_category/chaino_gibridnie_rozi.png,Чайно-гибридные розы — классическая красота в ее лучшем проявлении. Их элегантные цветы с волнистыми лепестками обладают неповторимой аурой. Эти розы олицетворяют изысканность и благородство.,Hybride roses tea,Hybrid roses tea are classical beauty in its best manifestation.Their elegant flowers with wavy petals have a unique aura.These roses personify sophistication and nobility.
6,6,Английские розы (срезочные),angliyskie_srezochnye_rozy,image_category/angliyskie_srezochnye_rozy.png,"Английские розы (срезочные) — это розы, которые наполняют воздух своим утонченным, аристократическим ароматом. Их пышные цветы собраны в шикарные букеты, создавая неповторимую романтическую атмосферу.",English roses (cuts),"English roses (cuts) are roses that fill the air with their sophisticated, aristocratic aroma.Their magnificent flowers are collected in chic bouquets, creating a unique romantic atmosphere."
7,7,Флорибунда (Полифлора) розы,floribunda_rozi,image_category/floribunda_rozi.png,Флорибунда (Полифлора) розы — настоящий фейерверк красок и благоухания. Их множество цветков на ветвях создает ощущение праздника. Эти розы приносят радость и яркость в ваш сад.,Floribunda (polyflora) roses,Floribunda (polyflora) roses is a real firework of colors and fragrance.There are many flowers on the branches that creates a feeling of a holiday.These roses bring joy and brightness to your garden.
8,8,Английские розы,anglijskie_rozy,image_category/anglijskie_rozy.png,Английские розы — это символ роскоши и утонченности. Их роскошные цветы с ароматом истинной английской розы уносят вас в мир элегантности и изысканности.,English roses,English roses are a symbol of luxury and sophistication.Their luxurious flowers with the aroma of a true English rose take you to the world of elegance and sophistication.
9,9,Мускусные розы,muskusnye_rozy,image_category/muskusnye_rozy.png,"Мускусные розы — волшебные цветы с нежным ароматом, который завораживает и уносит вас в мир романтики. Их нежные лепестки создают ощущение нежности и неземной красоты.",Muscular roses,Muscular roses are magic flowers with a delicate aroma that fascinates and takes you into the world of romance.Their delicate petals create a sense of tenderness and unearthly beauty.
10,10,Шрабы,shraby,image_category/shraby.png,"Шрабы – это разнообразные и обильноцветущие розы, которые обладают высокой устойчивостью к болезням и морозам. Их густые кусты украшают сады великолепными, множественными цветами, создавая эффектные акценты. Шрабы привлекают внимание своими крупными соцветиями разнообразных оттенков, от нежных пастельных до ярких насыщенных цветов. Они подходят как для одиночных посадок, так и для живописных живых изгородей.",SHRABS,"Scars are a variety of and abundant flowering roses that have high resistance to disease and frost.Their thick bushes decorate the gardens with magnificent, multiple colors, creating spectacular accents.Shraps attract attention with their large inflorescences of various shades, from delicate pastel to bright saturated colors.They are suitable for single plantings and for picturesque hedges."
11,11,Почвопокровные розы,pochvopokrovnie_rozi,image_category/pochvopokrovnie_rozi.png,"Почвопокровные розы, или ковровые розы, создают завораживающие цветочные ковры, укрывая землю красочными цветами. Их низкорослые и раскидистые кусты эффективно заполняют пространство, подавляя рост сорняков и создавая неповторимый ландшафтный дизайн. Эти розы особенно хороши для оформления склонов, бордюров, садовых дорожек и даже контейнеров. Их мелкие, но обильные цветы придают саду очарование и непринужденность.",Forter,"Floorous roses, or carpet roses, create fascinating floral carpets, covering the ground with colorful flowers.Their low -growing and sprawling bushes effectively fill the space, suppressing the growth of weeds and creating a unique landscape design.These roses are especially good for decorating slopes, borders, garden paths and even containers.Their small, but abundant flowers give the garden charm and ease."
